state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,cardinality_break,0,,60.94,stop,30924,8399,8382,artifacts/kimi_n50_verify_traces/test_000000.content.txt,artifacts/kimi_n50_verify_traces/test_000000.reasoning.txt
test_000002,LEGAL,,EMPTY_RESPONSE,,0,,285.66,length,30463,32768,32769,,artifacts/kimi_n50_verify_traces/test_000002.reasoning.txt
test_000004,LEGAL,,ILLEGAL,transition_break,0,,176.06,stop,26815,22733,22717,artifacts/kimi_n50_verify_traces/test_000004.content.txt,artifacts/kimi_n50_verify_traces/test_000004.reasoning.txt
test_000006,LEGAL,,EMPTY_RESPONSE,,0,,166.68,length,34237,32768,32769,,artifacts/kimi_n50_verify_traces/test_000006.reasoning.txt
test_000008,LEGAL,,ILLEGAL,transition_break,0,,188.94,stop,32086,20998,20982,artifacts/kimi_n50_verify_traces/test_000008.content.txt,artifacts/kimi_n50_verify_traces/test_000008.reasoning.txt
test_000010,LEGAL,,EMPTY_RESPONSE,,0,,214.39,length,33543,32768,32771,,artifacts/kimi_n50_verify_traces/test_000010.reasoning.txt
test_000012,LEGAL,,ILLEGAL,transition_break,0,,138.48,stop,30337,17906,17890,artifacts/kimi_n50_verify_traces/test_000012.content.txt,artifacts/kimi_n50_verify_traces/test_000012.reasoning.txt
test_000014,LEGAL,,EMPTY_RESPONSE,,0,,196.6,length,32636,32768,32768,,artifacts/kimi_n50_verify_traces/test_000014.reasoning.txt
test_000016,LEGAL,,EMPTY_RESPONSE,,0,,188.87,length,33892,32768,32770,,artifacts/kimi_n50_verify_traces/test_000016.reasoning.txt
test_000018,LEGAL,,EMPTY_RESPONSE,,0,,196.17,length,32500,32768,32771,,artifacts/kimi_n50_verify_traces/test_000018.reasoning.txt
test_000020,LEGAL,,ILLEGAL,transition_break,0,,179.35,stop,30472,24645,24629,artifacts/kimi_n50_verify_traces/test_000020.content.txt,artifacts/kimi_n50_verify_traces/test_000020.reasoning.txt
test_000022,LEGAL,,ILLEGAL,derivation_break,0,,205.26,stop,31125,29995,29981,artifacts/kimi_n50_verify_traces/test_000022.content.txt,artifacts/kimi_n50_verify_traces/test_000022.reasoning.txt
test_000024,LEGAL,,EMPTY_RESPONSE,,0,,203.97,length,32584,32768,32769,,artifacts/kimi_n50_verify_traces/test_000024.reasoning.txt
test_000026,LEGAL,,ILLEGAL,transition_break,0,,216.25,stop,31372,30400,30384,artifacts/kimi_n50_verify_traces/test_000026.content.txt,artifacts/kimi_n50_verify_traces/test_000026.reasoning.txt
test_000028,LEGAL,,ILLEGAL,cardinality_break,0,,190.17,stop,38195,32288,32271,artifacts/kimi_n50_verify_traces/test_000028.content.txt,artifacts/kimi_n50_verify_traces/test_000028.reasoning.txt
test_000030,LEGAL,,ILLEGAL,cardinality_break,0,,124.04,stop,31450,17965,17948,artifacts/kimi_n50_verify_traces/test_000030.content.txt,artifacts/kimi_n50_verify_traces/test_000030.reasoning.txt
test_000032,LEGAL,,EMPTY_RESPONSE,,0,,185.56,length,33063,32768,32771,,artifacts/kimi_n50_verify_traces/test_000032.reasoning.txt
test_000034,LEGAL,,EMPTY_RESPONSE,,0,,279.22,length,33649,32768,32771,,artifacts/kimi_n50_verify_traces/test_000034.reasoning.txt
