state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,cardinality_break,0,,,resumed,,,,artifacts/kimi_traces_64k/test_000000.content.txt,artifacts/kimi_traces_64k/test_000000.reasoning.txt
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,,resumed,,,,artifacts/kimi_traces_64k/test_000001.content.txt,artifacts/kimi_traces_64k/test_000001.reasoning.txt
test_000002,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_traces_64k/test_000002.content.txt,artifacts/kimi_traces_64k/test_000002.reasoning.txt
test_000003,ILLEGAL,derivation_break,ILLEGAL,cardinality_break,1,0,,resumed,,,,artifacts/kimi_traces_64k/test_000003.content.txt,artifacts/kimi_traces_64k/test_000003.reasoning.txt
test_000004,LEGAL,,ILLEGAL,cardinality_break,0,,,resumed,,,,artifacts/kimi_traces_64k/test_000004.content.txt,artifacts/kimi_traces_64k/test_000004.reasoning.txt
test_000005,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,,resumed,,,,artifacts/kimi_traces_64k/test_000005.content.txt,artifacts/kimi_traces_64k/test_000005.reasoning.txt
test_000006,LEGAL,,EMPTY_RESPONSE,,0,,,resumed,,,,,artifacts/kimi_traces_64k/test_000006.reasoning.txt
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,,resumed,,,,artifacts/kimi_traces_64k/test_000007.content.txt,artifacts/kimi_traces_64k/test_000007.reasoning.txt
test_000008,LEGAL,,ILLEGAL,cardinality_break,0,,,resumed,,,,artifacts/kimi_traces_64k/test_000008.content.txt,artifacts/kimi_traces_64k/test_000008.reasoning.txt
test_000009,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,221.74,stop,120948,36685,36668,artifacts/kimi_traces_64k/test_000009.content.txt,artifacts/kimi_traces_64k/test_000009.reasoning.txt
