state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,n_tool_calls,prompt_tokens,completion_tokens,reasoning_tokens,transcript_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,11.55,stop,5,3752,629,312,artifacts/gpt55_n100_tools_findv_azure_traces/test_000000.transcript.json
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.83,stop,4,3851,705,306,artifacts/gpt55_n100_tools_findv_azure_traces/test_000001.transcript.json
test_000002,LEGAL,,ILLEGAL,transition_break,0,,11.11,stop,5,3768,726,393,artifacts/gpt55_n100_tools_findv_azure_traces/test_000002.transcript.json
test_000003,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.17,stop,5,3823,403,86,artifacts/gpt55_n100_tools_findv_azure_traces/test_000003.transcript.json
test_000004,LEGAL,,ILLEGAL,transition_break,0,,17.63,stop,5,4307,1444,599,artifacts/gpt55_n100_tools_findv_azure_traces/test_000004.transcript.json
test_000005,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,9.99,stop,5,3753,605,285,artifacts/gpt55_n100_tools_findv_azure_traces/test_000005.transcript.json
test_000006,LEGAL,,ILLEGAL,transition_break,0,,23.27,stop,6,6116,1872,691,artifacts/gpt55_n100_tools_findv_azure_traces/test_000006.transcript.json
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,13.35,stop,6,3839,774,408,artifacts/gpt55_n100_tools_findv_azure_traces/test_000007.transcript.json
test_000008,LEGAL,,ILLEGAL,transition_break,0,,7.07,stop,4,3675,434,167,artifacts/gpt55_n100_tools_findv_azure_traces/test_000008.transcript.json
test_000009,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.79,stop,5,3850,432,102,artifacts/gpt55_n100_tools_findv_azure_traces/test_000009.transcript.json
test_000010,LEGAL,,ILLEGAL,transition_break,0,,11.5,stop,4,3826,707,328,artifacts/gpt55_n100_tools_findv_azure_traces/test_000010.transcript.json
test_000011,ILLEGAL,transition_break,ILLEGAL,cardinality_break,1,0,11.02,stop,5,3819,454,142,artifacts/gpt55_n100_tools_findv_azure_traces/test_000011.transcript.json
test_000012,LEGAL,,ILLEGAL,transition_break,0,,7.11,stop,5,3823,446,129,artifacts/gpt55_n100_tools_findv_azure_traces/test_000012.transcript.json
test_000013,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,6.19,stop,5,3823,431,114,artifacts/gpt55_n100_tools_findv_azure_traces/test_000013.transcript.json
test_000014,LEGAL,,ILLEGAL,transition_break,0,,9.04,stop,5,3766,645,313,artifacts/gpt55_n100_tools_findv_azure_traces/test_000014.transcript.json
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,13.96,stop,4,4157,1117,404,artifacts/gpt55_n100_tools_findv_azure_traces/test_000015.transcript.json
test_000016,LEGAL,,ILLEGAL,transition_break,0,,14.51,stop,4,4016,1091,512,artifacts/gpt55_n100_tools_findv_azure_traces/test_000016.transcript.json
test_000017,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,8.91,stop,5,3753,592,274,artifacts/gpt55_n100_tools_findv_azure_traces/test_000017.transcript.json
test_000018,LEGAL,,ILLEGAL,transition_break,0,,11.44,stop,5,4248,914,147,artifacts/gpt55_n100_tools_findv_azure_traces/test_000018.transcript.json
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,5.5,stop,5,3820,384,70,artifacts/gpt55_n100_tools_findv_azure_traces/test_000019.transcript.json
test_000020,LEGAL,,ILLEGAL,transition_break,0,,5.65,stop,5,3766,394,67,artifacts/gpt55_n100_tools_findv_azure_traces/test_000020.transcript.json
test_000021,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,6.11,stop,5,3751,422,103,artifacts/gpt55_n100_tools_findv_azure_traces/test_000021.transcript.json
test_000022,LEGAL,,ILLEGAL,transition_break,0,,12.15,stop,5,4151,992,303,artifacts/gpt55_n100_tools_findv_azure_traces/test_000022.transcript.json
test_000023,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,8.6,stop,4,3833,595,218,artifacts/gpt55_n100_tools_findv_azure_traces/test_000023.transcript.json
test_000024,LEGAL,,ILLEGAL,transition_break,0,,9.63,stop,4,3809,673,316,artifacts/gpt55_n100_tools_findv_azure_traces/test_000024.transcript.json
test_000025,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,11.55,stop,6,3836,736,377,artifacts/gpt55_n100_tools_findv_azure_traces/test_000025.transcript.json
test_000026,LEGAL,,ILLEGAL,transition_break,0,,7.02,stop,4,3905,500,104,artifacts/gpt55_n100_tools_findv_azure_traces/test_000026.transcript.json
test_000027,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.93,stop,5,3759,421,96,artifacts/gpt55_n100_tools_findv_azure_traces/test_000027.transcript.json
test_000028,LEGAL,,ILLEGAL,transition_break,0,,6.01,stop,5,3758,404,76,artifacts/gpt55_n100_tools_findv_azure_traces/test_000028.transcript.json
test_000029,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,9.88,stop,6,3821,655,296,artifacts/gpt55_n100_tools_findv_azure_traces/test_000029.transcript.json
test_000030,LEGAL,,ILLEGAL,transition_break,0,,5.92,stop,5,3755,390,69,artifacts/gpt55_n100_tools_findv_azure_traces/test_000030.transcript.json
test_000031,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.21,stop,5,3754,407,87,artifacts/gpt55_n100_tools_findv_azure_traces/test_000031.transcript.json
test_000032,LEGAL,,ILLEGAL,transition_break,0,,8.58,stop,5,3762,584,255,artifacts/gpt55_n100_tools_findv_azure_traces/test_000032.transcript.json
test_000033,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,9.25,stop,5,3819,551,236,artifacts/gpt55_n100_tools_findv_azure_traces/test_000033.transcript.json
test_000034,LEGAL,,ILLEGAL,transition_break,0,,9.23,stop,4,3798,619,265,artifacts/gpt55_n100_tools_findv_azure_traces/test_000034.transcript.json
test_000035,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.21,stop,4,3839,725,344,artifacts/gpt55_n100_tools_findv_azure_traces/test_000035.transcript.json
test_000036,LEGAL,,ILLEGAL,transition_break,0,,8.99,stop,5,3763,598,278,artifacts/gpt55_n100_tools_findv_azure_traces/test_000036.transcript.json
test_000037,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,19.04,stop,7,4225,1394,658,artifacts/gpt55_n100_tools_findv_azure_traces/test_000037.transcript.json
test_000038,LEGAL,,ILLEGAL,transition_break,0,,7.36,stop,5,3763,450,121,artifacts/gpt55_n100_tools_findv_azure_traces/test_000038.transcript.json
test_000039,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,10.52,stop,5,4200,869,132,artifacts/gpt55_n100_tools_findv_azure_traces/test_000039.transcript.json
test_000040,LEGAL,,ILLEGAL,transition_break,0,,6.04,stop,5,3811,395,88,artifacts/gpt55_n100_tools_findv_azure_traces/test_000040.transcript.json
test_000041,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,9.82,stop,4,3833,672,295,artifacts/gpt55_n100_tools_findv_azure_traces/test_000041.transcript.json
test_000042,LEGAL,,ILLEGAL,transition_break,0,,5.23,stop,6,3725,318,51,artifacts/gpt55_n100_tools_findv_azure_traces/test_000042.transcript.json
test_000043,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,5.74,stop,5,3766,382,50,artifacts/gpt55_n100_tools_findv_azure_traces/test_000043.transcript.json
test_000044,LEGAL,,ILLEGAL,transition_break,0,,19.72,stop,5,4413,1476,527,artifacts/gpt55_n100_tools_findv_azure_traces/test_000044.transcript.json
test_000045,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,7.41,stop,5,3757,458,136,artifacts/gpt55_n100_tools_findv_azure_traces/test_000045.transcript.json
test_000046,LEGAL,,ILLEGAL,transition_break,0,,7.82,stop,5,3818,516,204,artifacts/gpt55_n100_tools_findv_azure_traces/test_000046.transcript.json
test_000047,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,11.03,stop,6,3826,686,320,artifacts/gpt55_n100_tools_findv_azure_traces/test_000047.transcript.json
test_000048,LEGAL,,ILLEGAL,transition_break,0,,7.49,stop,5,3759,499,173,artifacts/gpt55_n100_tools_findv_azure_traces/test_000048.transcript.json
test_000049,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,11.22,stop,5,3744,661,341,artifacts/gpt55_n100_tools_findv_azure_traces/test_000049.transcript.json
test_000050,LEGAL,,ILLEGAL,transition_break,0,,17.46,stop,5,4211,1356,610,artifacts/gpt55_n100_tools_findv_azure_traces/test_000050.transcript.json
test_000051,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,6.05,stop,4,3669,352,88,artifacts/gpt55_n100_tools_findv_azure_traces/test_000051.transcript.json
test_000052,LEGAL,,ILLEGAL,transition_break,0,,6.81,stop,5,3767,421,88,artifacts/gpt55_n100_tools_findv_azure_traces/test_000052.transcript.json
test_000053,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,5.92,stop,5,3757,417,91,artifacts/gpt55_n100_tools_findv_azure_traces/test_000053.transcript.json
