state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,n_tool_calls,prompt_tokens,completion_tokens,reasoning_tokens,transcript_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,8.75,stop,5,3828,608,288,artifacts/gpt55_n20_tools_findv_traces/test_000000.transcript.json
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,8.97,stop,5,3759,691,367,artifacts/gpt55_n20_tools_findv_traces/test_000001.transcript.json
test_000002,LEGAL,,ILLEGAL,transition_break,0,,10.93,stop,4,4214,1076,296,artifacts/gpt55_n20_tools_findv_traces/test_000002.transcript.json
test_000003,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.3,stop,5,3811,643,332,artifacts/gpt55_n20_tools_findv_traces/test_000003.transcript.json
test_000004,LEGAL,,ILLEGAL,transition_break,0,,9.08,stop,6,3859,649,273,artifacts/gpt55_n20_tools_findv_traces/test_000004.transcript.json
test_000005,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,8.11,stop,5,3766,616,284,artifacts/gpt55_n20_tools_findv_traces/test_000005.transcript.json
test_000006,LEGAL,,ILLEGAL,transition_break,0,,6.83,stop,5,3759,546,219,artifacts/gpt55_n20_tools_findv_traces/test_000006.transcript.json
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,13.76,stop,5,4313,1339,496,artifacts/gpt55_n20_tools_findv_traces/test_000007.transcript.json
test_000008,LEGAL,,ILLEGAL,transition_break,0,,6.26,stop,5,3762,455,125,artifacts/gpt55_n20_tools_findv_traces/test_000008.transcript.json
test_000009,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.0,stop,5,3755,384,64,artifacts/gpt55_n20_tools_findv_traces/test_000009.transcript.json
test_000010,LEGAL,,ILLEGAL,transition_break,0,,8.78,stop,6,3875,567,181,artifacts/gpt55_n20_tools_findv_traces/test_000010.transcript.json
test_000011,ILLEGAL,transition_break,ILLEGAL,cardinality_break,1,0,8.21,stop,5,3831,598,280,artifacts/gpt55_n20_tools_findv_traces/test_000011.transcript.json
test_000012,LEGAL,,ILLEGAL,transition_break,0,,9.9,stop,6,3864,751,365,artifacts/gpt55_n20_tools_findv_traces/test_000012.transcript.json
test_000013,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.41,stop,5,3737,751,439,artifacts/gpt55_n20_tools_findv_traces/test_000013.transcript.json
test_000014,LEGAL,,ILLEGAL,transition_break,0,,9.67,stop,5,3764,646,316,artifacts/gpt55_n20_tools_findv_traces/test_000014.transcript.json
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,9.68,stop,5,4207,948,206,artifacts/gpt55_n20_tools_findv_traces/test_000015.transcript.json
test_000016,LEGAL,,ILLEGAL,transition_break,0,,6.53,stop,5,3765,481,148,artifacts/gpt55_n20_tools_findv_traces/test_000016.transcript.json
test_000017,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,13.48,stop,5,4221,1220,467,artifacts/gpt55_n20_tools_findv_traces/test_000017.transcript.json
test_000018,LEGAL,,ILLEGAL,transition_break,0,,14.95,stop,5,4351,1426,543,artifacts/gpt55_n20_tools_findv_traces/test_000018.transcript.json
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,12.34,stop,5,4204,1076,339,artifacts/gpt55_n20_tools_findv_traces/test_000019.transcript.json
