state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,LEGAL,,1,,73.45,stop,30760,4671,4608,artifacts/gpt55_audit_in_english_traces/test_000000.content.txt,
test_000002,LEGAL,,LEGAL,,1,,73.64,stop,30299,5707,5631,artifacts/gpt55_audit_in_english_traces/test_000002.content.txt,
test_000004,LEGAL,,LEGAL,,1,,94.57,stop,26651,5969,5887,artifacts/gpt55_audit_in_english_traces/test_000004.content.txt,
test_000006,LEGAL,,LEGAL,,1,,78.85,stop,34073,6138,6054,artifacts/gpt55_audit_in_english_traces/test_000006.content.txt,
test_000008,LEGAL,,LEGAL,,1,,89.2,stop,31922,6225,6142,artifacts/gpt55_audit_in_english_traces/test_000008.content.txt,
test_000010,LEGAL,,LEGAL,,1,,72.09,stop,33379,5189,5120,artifacts/gpt55_audit_in_english_traces/test_000010.content.txt,
test_000012,LEGAL,,LEGAL,,1,,83.35,stop,30173,6225,6141,artifacts/gpt55_audit_in_english_traces/test_000012.content.txt,
test_000014,LEGAL,,LEGAL,,1,,36.97,stop,32472,2599,2559,artifacts/gpt55_audit_in_english_traces/test_000014.content.txt,
test_000016,LEGAL,,LEGAL,,1,,83.65,stop,33728,5707,5632,artifacts/gpt55_audit_in_english_traces/test_000016.content.txt,
test_000018,LEGAL,,LEGAL,,1,,97.23,stop,32336,6903,6808,artifacts/gpt55_audit_in_english_traces/test_000018.content.txt,
test_000020,LEGAL,,LEGAL,,1,,54.98,stop,30308,4153,4095,artifacts/gpt55_audit_in_english_traces/test_000020.content.txt,
test_000022,LEGAL,,LEGAL,,1,,65.13,stop,30961,4671,4608,artifacts/gpt55_audit_in_english_traces/test_000022.content.txt,
test_000024,LEGAL,,LEGAL,,1,,111.27,stop,32420,8297,8191,artifacts/gpt55_audit_in_english_traces/test_000024.content.txt,
test_000026,LEGAL,,LEGAL,,1,,54.07,stop,31208,3635,3584,artifacts/gpt55_audit_in_english_traces/test_000026.content.txt,
test_000028,LEGAL,,LEGAL,,1,,148.41,stop,38031,10887,10749,artifacts/gpt55_audit_in_english_traces/test_000028.content.txt,
test_000030,LEGAL,,LEGAL,,1,,72.55,stop,31286,4639,4575,artifacts/gpt55_audit_in_english_traces/test_000030.content.txt,
test_000032,LEGAL,,LEGAL,,1,,73.02,stop,32899,5707,5633,artifacts/gpt55_audit_in_english_traces/test_000032.content.txt,
test_000034,LEGAL,,LEGAL,,1,,82.1,stop,33485,6743,6654,artifacts/gpt55_audit_in_english_traces/test_000034.content.txt,
test_000036,LEGAL,,LEGAL,,1,,78.25,stop,32775,6200,6119,artifacts/gpt55_audit_in_english_traces/test_000036.content.txt,
test_000038,LEGAL,,LEGAL,,1,,57.11,stop,31672,4671,4608,artifacts/gpt55_audit_in_english_traces/test_000038.content.txt,
test_000040,LEGAL,,LEGAL,,1,,57.32,stop,31867,4447,4382,artifacts/gpt55_audit_in_english_traces/test_000040.content.txt,
test_000042,LEGAL,,LEGAL,,1,,80.53,stop,32599,5476,5401,artifacts/gpt55_audit_in_english_traces/test_000042.content.txt,
test_000044,LEGAL,,LEGAL,,1,,77.44,stop,33018,5707,5632,artifacts/gpt55_audit_in_english_traces/test_000044.content.txt,
test_000046,LEGAL,,LEGAL,,1,,76.23,stop,28898,5150,5080,artifacts/gpt55_audit_in_english_traces/test_000046.content.txt,
test_000048,LEGAL,,LEGAL,,1,,48.47,stop,32668,4153,4096,artifacts/gpt55_audit_in_english_traces/test_000048.content.txt,
test_000050,LEGAL,,LEGAL,,1,,76.53,stop,29910,5561,5485,artifacts/gpt55_audit_in_english_traces/test_000050.content.txt,
test_000052,LEGAL,,LEGAL,,1,,56.61,stop,30157,3635,3584,artifacts/gpt55_audit_in_english_traces/test_000052.content.txt,
test_000054,LEGAL,,LEGAL,,1,,71.72,stop,32181,5164,5091,artifacts/gpt55_audit_in_english_traces/test_000054.content.txt,
test_000056,LEGAL,,LEGAL,,1,,61.6,stop,35893,4638,4576,artifacts/gpt55_audit_in_english_traces/test_000056.content.txt,
test_000058,LEGAL,,LEGAL,,1,,94.78,stop,29260,6844,6750,artifacts/gpt55_audit_in_english_traces/test_000058.content.txt,
test_000060,LEGAL,,LEGAL,,1,,81.26,stop,29732,6210,6128,artifacts/gpt55_audit_in_english_traces/test_000060.content.txt,
test_000062,LEGAL,,LEGAL,,1,,100.14,stop,35426,7196,7102,artifacts/gpt55_audit_in_english_traces/test_000062.content.txt,
test_000064,LEGAL,,LEGAL,,1,,86.64,stop,32654,6743,6657,artifacts/gpt55_audit_in_english_traces/test_000064.content.txt,
test_000066,LEGAL,,LEGAL,,1,,88.73,stop,26543,6541,6454,artifacts/gpt55_audit_in_english_traces/test_000066.content.txt,
test_000068,LEGAL,,LEGAL,,1,,77.15,stop,34378,5704,5628,artifacts/gpt55_audit_in_english_traces/test_000068.content.txt,
test_000070,LEGAL,,LEGAL,,1,,80.74,stop,33206,5707,5632,artifacts/gpt55_audit_in_english_traces/test_000070.content.txt,
test_000072,LEGAL,,LEGAL,,1,,78.7,stop,30991,5707,5631,artifacts/gpt55_audit_in_english_traces/test_000072.content.txt,
test_000074,LEGAL,,LEGAL,,1,,90.67,stop,28893,6616,6530,artifacts/gpt55_audit_in_english_traces/test_000074.content.txt,
test_000076,LEGAL,,LEGAL,,1,,109.91,stop,33804,7779,7677,artifacts/gpt55_audit_in_english_traces/test_000076.content.txt,
test_000078,LEGAL,,LEGAL,,1,,71.92,stop,29617,5074,5005,artifacts/gpt55_audit_in_english_traces/test_000078.content.txt,
test_000080,LEGAL,,LEGAL,,1,,63.07,stop,32362,5251,5176,artifacts/gpt55_audit_in_english_traces/test_000080.content.txt,
test_000082,LEGAL,,LEGAL,,1,,34.24,stop,32454,3117,3072,artifacts/gpt55_audit_in_english_traces/test_000082.content.txt,
test_000084,LEGAL,,LEGAL,,1,,87.86,stop,34133,6703,6615,artifacts/gpt55_audit_in_english_traces/test_000084.content.txt,
test_000086,LEGAL,,LEGAL,,1,,96.56,stop,34583,6820,6726,artifacts/gpt55_audit_in_english_traces/test_000086.content.txt,
test_000088,LEGAL,,LEGAL,,1,,81.99,stop,31912,6554,6466,artifacts/gpt55_audit_in_english_traces/test_000088.content.txt,
