state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000000.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000000.reasoning.txt
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000001.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000001.reasoning.txt
test_000002,LEGAL,,LEGAL,,1,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000002.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000002.reasoning.txt
test_000003,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000003.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000003.reasoning.txt
test_000004,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000004.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000004.reasoning.txt
test_000005,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000005.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000005.reasoning.txt
test_000006,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000006.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000006.reasoning.txt
test_000007,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,,resumed,,,,,artifacts/kimi_n100_findv_azure_traces/test_000007.reasoning.txt
test_000008,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000008.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000008.reasoning.txt
test_000009,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000009.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000009.reasoning.txt
test_000010,LEGAL,,ILLEGAL,cardinality_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000010.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000010.reasoning.txt
test_000011,ILLEGAL,transition_break,ILLEGAL,cardinality_break,1,0,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000011.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000011.reasoning.txt
test_000012,LEGAL,,ILLEGAL,cardinality_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000012.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000012.reasoning.txt
test_000013,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,,resumed,,,,,artifacts/kimi_n100_findv_azure_traces/test_000013.reasoning.txt
test_000014,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000014.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000014.reasoning.txt
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000015.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000015.reasoning.txt
test_000016,LEGAL,,ILLEGAL,derivation_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000016.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000016.reasoning.txt
test_000017,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000017.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000017.reasoning.txt
test_000018,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000018.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000018.reasoning.txt
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000019.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000019.reasoning.txt
test_000020,LEGAL,,EMPTY_RESPONSE,,0,,,resumed,,,,,artifacts/kimi_n100_findv_azure_traces/test_000020.reasoning.txt
test_000021,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,,resumed,,,,,artifacts/kimi_n100_findv_azure_traces/test_000021.reasoning.txt
test_000022,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000022.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000022.reasoning.txt
test_000023,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000023.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000023.reasoning.txt
test_000024,LEGAL,,ILLEGAL,transition_break,0,,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000024.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000024.reasoning.txt
test_000025,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,,resumed,,,,artifacts/kimi_n100_findv_azure_traces/test_000025.content.txt,artifacts/kimi_n100_findv_azure_traces/test_000025.reasoning.txt
